x,y,initial-position,named-position,position
239,1670,1,A-1,1p
239,1672,2,A-2,1p
239,1674,3,A-3,1p
239,1676,4,A-4,1p
239,1678,5,A-5,1p
239,1680,6,A-6,1p
239,1682,7,A-7,1p
239,1684,8,A-8,1p
239,1686,9,A-9,1p
239,1688,10,A-10,1p
239,1690,11,A-11,1p
239,1693,12,B-1,1p
239,1695,13,B-2,1p
239,1697,14,B-3,1p
239,1699,15,B-4,1p
239,1701,16,B-5,1p
239,1703,17,B-6,1p
239,1705,18,B-7,1p
239,1707,19,B-8,1p
239,1709,20,B-9,1p
239,1711,21,B-10,1p
239,1713,22,B-11,1p
239,1715,23,B-12,1p
239,1717,24,B-13,1p
239,1719,25,B-14,1p
239,1721,26,B-15,1p
239,1724,27,C-1,1p
239,1726,28,C-2,1p
239,1728,29,C-3,1p
239,1730,30,C-4,1p
239,1732,31,C-5,1p
239,1734,32,C-6,1p
239,1736,33,C-7,1p
239,1738,34,C-8,1p
239,1740,35,C-9,1p
239,1742,36,C-10,1p
239,1744,37,C-11,1p
239,1746,38,C-12,1p
239,1748,39,C-13,1p
239,1750,40,C-14,1p
239,1752,41,D-1,1p
239,1754,42,D-2,1p
239,1755,42,D-2,1p
239,1757,43,D-3,1p
239,1759,44,D-4,1p
239,1761,45,D-5,1p
239,1763,46,D-6,1p
239,1765,47,D-7,1p
239,1767,48,D-8,1p
239,1769,49,D-9,1p
239,1771,50,D-10,1p
239,1773,51,D-11,1p
239,1775,52,D-12,1p
239,1777,53,E-1,1p
239,1779,54,E-2,1p
239,1781,55,E-3,1p
239,1783,56,E-4,1p
239,1785,57,E-5,1p
239,1786,57,E-5,1p
239,1788,58,E-6,1p
239,1790,59,E-7,1p
239,1792,60,E-8,1p
503,1669,1,A-1,2p
503,1671,2,A-2,2p
503,1673,3,A-3,2p
503,1675,4,A-4,2p
503,1677,5,A-5,2p
503,1679,6,A-6,2p
503,1681,7,A-7,2p
503,1683,8,A-8,2p
503,1685,9,A-9,2p
503,1687,10,B-1,2p
503,1689,11,B-2,2p
503,1691,12,B-3,2p
503,1694,13,B-4,2p
503,1696,14,B-5,2p
503,1698,15,B-6,2p
503,1700,16,B-7,2p
503,1702,17,B-8,2p
503,1704,18,B-9,2p
503,1706,19,B-10,2p
503,1708,20,B-11,2p
503,1710,21,B-12,2p
503,1712,22,B-13,2p
503,1714,23,B-14,2p
503,1716,24,C-1,2p
503,1718,25,C-2,2p
503,1720,26,C-3,2p
503,1722,27,C-4,2p
503,1725,28,C-5,2p
503,1727,29,C-6,2p
